Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
7435,"PROFORMATION | formation Anglais CPF, formation Excel CPF, formation Espagnol CPF,","
6 Rue de Braque, 75003 Paris, France",Paris,ecoles_formation,https://proformation.fr/,+33148876424,proformation@proformation.fr,0,ecoles_formation,web,1,0,Site moderne,,,
7436,CFORPRO,"
Tour de l'horloge, 4 Pl. Louis Armand, 75012 Paris, France",Paris,ecoles_formation,http://www.cforpro.com/,+33175509230,rgpd@cforpro.com,0,ecoles_formation,web,1,15,pas_https(+15),,,
7437,WEB,"
11 Rue Antoine Bourdelle, 75015 Paris, France",Paris,ecoles_formation,https://www.dawan.fr/,+33972377373,,0,ecoles_formation,web,35,,dawan.fr = grand compte formation IT,a_verifier,,
7438,Orgaly Lyon,"
5 Quai Rambaud, 69002 Lyon, France",Lyon,ecoles_formation,https://www.orgaly.fr/nos-etablissements/lyon.html?_gl=1*16k5vy7*_up*MQ..*_ga*MTU2MTEzMTM0My4xNzQyMzA5MzE3*_ga_KM92MXDG9V*MTc0MjMwOTMxNi4xLjEuMTc0MjMwOTM3Mi4wLjAuMA..,+33428290129,contact@orgaly.fr,0,ecoles_formation,web,2,20,generator_Joomla(+20),a_verifier,,
7439,TFP Formation,"
36 Rue Bossuet, 69006 Lyon, France",Lyon,ecoles_formation,https://thefrenchpatissier.com/,,contact@thefrenchpatissier.com,0,ecoles_formation,web,1,10,no_favicon(+5); no_og(+5),,,
7440,BELLAICHE,"
85 Av. Niel, 75017 Paris, France",Paris,ecoles_formation,https://www.openformation.fr/,+33180963464,,0,ecoles_formation,web,1,10,no_favicon(+5); no_og(+5),,,
7441,PLATINIUM FORMATION & ACADEMY,"
24 Rue Domer, 69007 Lyon, France",Lyon,ecoles_formation,https://www.platiniumformation.com/contact,+33437280910,jpbonardel@platiniumformation.com,0,ecoles_formation,web,3,45,non_responsive(+40); no_favicon(+5),a_contacter,,
7442,IPF (Institut Parisien de Formation),"
201 Rue Lecourbe, 75015 Paris, France",Paris,ecoles_formation,http://www.ipf-formation.com/,+33155438390,ipf@ipf-formation.com,0,ecoles_formation,web,1,15,pas_https(+15),,,
7443,Centre de Formation et de Professionnalisation,"
23 Rue des Ateliers, 91350 Grigny, France",Paris,ecoles_formation,https://cfp-gps.fr/,+33169569191,,0,ecoles_formation,web,1,0,Site moderne,,,
7444,Action Formalys - Proformalys,"
5 Rue Fénelon, 75010 Paris, France",Paris,ecoles_formation,https://www.proformalys.fr/contact.php,+33148742945,,0,ecoles_formation,web,2,35,tables_x6(+20); no_favicon(+5); no_og(+5); no_webp(+5),a_verifier,,
7445,ORSYS Formation Lyon,"
9 Rue des Cuirassiers, 69003 Lyon, France",Lyon,ecoles_formation,https://www.orsys.fr/nos-centres-de-formation/lyon?utm_source=gmb&utm_medium=Pagesjaunes&utm_campaign=centreLyon,+33481091790,rgpd@orsys.fr,0,ecoles_formation,web,35,,orsys.fr = grand compte formation,a_verifier,,
